sentence,picture1,picture2,picture3,picture4
Das Mädchen liebt Süßigkeit und isst gern...,37_1_related_JPG.JPG,37_2_JPG.JPG,37_3_JPG.JPG,37_4_JPG.JPG
Die Apothekerin arbeitet viel und braucht...,38_1_JPG.JPG,38_2_JPG.JPG,38_3_JPG.JPG,38_4_JPG.JPG
Die Bäckerin bäckt Kuchen mit ...,48_1_related_JPG.JPG,48_2_related_JPG.JPG,48_3_JPG.JPG,48_4_JPG.JPG
